,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa
1943,1282582,FIRST STATE FINANCIAL CORP/FL,2007-03-08,4,2,22,2,2,1,0,0,0,3,2,3,1,0,2573,474.88800000000003,2.384,0.005020131
1947,37049,FIRST WEST VIRGINIA BANCORP INC,2007-03-29,0,0,11,0,1,0,0,1,0,0,4,0,0,0,1730,253.187,2.036,0.008041487
1949,1031296,FIRSTENERGY CORP,2007-02-28,9,0,35,4,1,2,0,1,1,1,2,7,0,0,6265,32068.0,1309.0,0.040819509
1950,810536,FIRSTFED FINANCIAL CORP,2007-03-01,2,0,17,0,0,2,0,1,0,0,0,0,0,0,1262,7222.981,92.874,0.012858126000000001
1952,798354,FISERV INC,2007-02-28,0,0,5,0,2,0,0,0,0,1,1,0,0,0,2373,11846.0,439.0,0.037058923
1954,1159281,FIVE STAR QUALITY CARE INC,2007-03-07,0,0,21,16,9,3,0,0,0,4,4,5,0,0,13801,360.454,23.326,0.064712834
1956,799526,FLANDERS CORP,2007-03-07,4,0,17,21,6,0,0,1,0,0,1,1,0,0,7714,183.555,-19.687,-0.107253957
1957,354908,FLIR SYSTEMS INC,2007-03-16,2,0,13,4,6,2,0,0,0,1,2,1,0,0,3438,1024.316,136.711,0.133465649
1961,37643,FLORIDA PUBLIC UTILITIES CO,2007-03-19,0,0,3,0,0,0,0,0,0,0,2,2,0,0,2735,192.34400000000002,3.301,0.01716196
1962,928054,FLOTEK INDUSTRIES INC/CN/,2007-03-16,5,0,15,4,5,2,0,0,0,3,2,2,0,0,5229,160.793,16.727,0.10402816
1965,1124198,FLUOR CORP,2007-03-01,8,0,29,18,6,0,2,0,0,0,3,5,0,0,11071,5796.179,533.319,0.092012169
1966,923139,FLUSHING FINANCIAL CORP,2007-03-16,0,0,6,1,1,0,0,1,0,0,0,3,0,0,2485,3354.5190000000002,20.185,0.0060172559999999995
1967,37785,FMC CORP,2007-02-26,0,0,9,0,0,1,0,0,0,0,0,1,1,0,960,2733.4,132.4,0.048437843
1968,1135152,FMC TECHNOLOGIES INC,2007-03-01,0,0,9,0,4,0,0,0,0,0,0,3,1,0,2179,3211.1,302.8,0.094297904
1976,884719,FOCUS ENHANCEMENTS INC,2007-03-30,2,0,11,11,7,2,0,0,0,4,0,0,0,0,10274,25.92,-17.361,-0.669791667
1981,37996,FORD MOTOR CO,2007-02-28,0,1,27,1,3,0,0,0,0,3,0,2,1,0,4696,279264.0,-2723.0,-0.00975063
1987,789073,FORTUNE BRANDS INC,2007-03-01,3,0,13,3,0,1,2,0,0,0,4,3,0,0,2129,13956.9,762.6,0.054639640999999996
1993,1010247,FPIC INSURANCE GROUP INC,2007-03-09,5,0,44,19,5,3,0,0,0,0,1,7,0,0,9180,1077.022,50.898999999999994,0.047259015999999994
1994,753308,FPL GROUP INC,2007-02-27,9,0,44,4,7,0,1,0,1,5,4,2,0,0,14544,40123.0,1312.0,0.032699449
1996,38725,FRANKLIN ELECTRIC CO INC,2007-02-28,2,0,13,7,2,0,0,0,0,0,0,0,0,0,1484,662.237,28.683000000000003,0.043312289000000004
1998,1031316,FRANKLIN STREET PROPERTIES CORP /MA/,2007-02-23,0,0,9,0,4,5,0,0,0,2,2,1,0,0,3835,1003.466,61.085,0.060874011
2000,831259,FREEPORT MCMORAN COPPER & GOLD INC,2007-02-28,10,0,21,3,12,4,0,0,0,0,3,7,0,0,6846,40661.0,2977.0,0.07321512
2002,1209028,FRIEDMAN BILLINGS RAMSEY GROUP INC,2007-03-01,9,0,174,30,9,3,0,2,1,11,6,10,5,1,36634,2944.955,-660.253,-0.224197993
2004,716457,FRONTIER FINANCIAL CORP /WA/,2007-02-28,4,1,36,2,3,1,0,0,0,1,5,1,2,0,4567,3995.6890000000003,73.938,0.018504443
2006,110430,FRONTIER OIL CORP /NEW/,2007-02-28,0,0,3,0,1,2,0,0,0,0,2,0,0,0,2627,1863.848,499.125,0.26779276
2007,39273,FROZEN FOOD EXPRESS INDUSTRIES INC,2007-03-16,2,0,7,1,1,0,0,0,0,0,1,1,1,0,2407,173.669,-7.67,-0.044164474
2009,887936,FTI CONSULTING INC,2007-03-13,1,0,13,2,3,1,0,0,0,4,2,1,0,0,6960,1858.624,92.12100000000001,0.04956408599999999
2010,846913,"FUEL TECH, INC.",2007-03-06,0,0,2,0,0,0,0,0,0,0,0,0,0,0,564,87.214,7.242999999999999,0.083048593
2012,39368,FULLER H B CO,2007-02-15,0,0,4,1,0,1,0,0,0,0,0,1,0,0,911,1364.602,102.17299999999999,0.074873846
2013,700564,FULTON FINANCIAL CORP,2007-03-01,0,1,9,1,1,0,0,0,0,0,0,2,1,0,1891,15923.098,152.718,0.009590973000000001
2017,907649,FX ENERGY INC,2007-03-13,5,0,17,0,5,0,0,0,0,4,9,4,0,0,3697,46.369,-11.690999999999999,-0.25212965600000004
2031,923603,FelCor Lodging Trust Inc,2007-03-01,3,0,24,3,4,0,0,0,0,1,1,0,0,1,6367,2683.835,89.039,0.033176034
2032,1010286,FiberTower CORP,2007-03-30,6,0,17,12,10,5,1,0,0,1,2,4,0,0,11131,955.555,-272.147,-0.284805166
2063,1301063,"Foundation Coal Holdings, Inc.",2007-03-01,3,0,20,2,10,1,0,1,0,0,5,2,0,0,10036,1210.914,27.734,0.022903361
2065,1365790,"Freedom Acquisition Holdings, Inc.",2007-03-27,0,0,14,7,2,0,0,1,0,6,1,1,0,0,10261,984.137,-310.508,-0.315512982
2066,1320854,"FreightCar America, Inc.",2007-03-13,1,0,24,8,5,4,0,0,0,1,1,2,0,0,8191,355.884,26.468000000000004,0.074372548
2069,1132784,GALAXY ENERGY CORP,2007-03-15,0,0,4,0,0,4,0,0,0,0,2,4,0,0,4761,43.797,-20.02,-0.45710893399999997
2071,1060349,"GAMCO INVESTORS, INC. ET AL",2007-03-19,0,0,15,2,2,0,0,0,0,2,0,3,0,0,5808,757.58,79.569,0.10503049199999999
2072,1045014,GAMETECH INTERNATIONAL INC,2007-01-29,2,0,10,9,11,0,0,1,0,3,1,1,0,0,12621,93.882,4.671,0.04975394599999999
2073,39899,GANNETT CO INC /DE/,2007-03-01,0,0,6,2,1,0,0,0,1,0,0,1,0,0,642,15887.726999999999,1055.612,0.066441978
2075,1121788,GARMIN LTD,2007-02-28,3,0,13,16,5,4,0,0,0,1,3,2,0,0,14234,3291.46,855.0110000000001,0.259766487
2076,749251,GARTNER INC,2007-03-01,2,0,12,2,0,2,0,0,0,1,0,2,1,0,3104,1133.21,73.553,0.064906769
2078,1170154,GASTAR EXPLORATION LTD,2007-03-27,6,0,24,21,3,0,1,0,0,6,7,4,0,0,16421,261.75,-30.54,-0.11667621800000001
2079,1156953,GATEWAY FINANCIAL HOLDINGS INC,2007-03-16,1,0,16,3,1,0,0,0,1,1,4,4,0,0,4159,1868.185,11.019,0.005898238
2083,1040829,GAYLORD ENTERTAINMENT CO /DE,2007-02-28,5,0,21,2,6,2,0,0,0,2,3,1,1,0,5453,2336.867,111.911,0.047889332
2095,856386,GEHL CO,2007-03-05,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1591,407.962,24.406999999999996,0.059826650999999995
2096,923282,GEMSTAR TV GUIDE INTERNATIONAL INC,2007-02-28,1,0,20,5,1,1,0,0,0,2,2,0,1,0,6158,1356.5279999999998,176.886,0.130396129
2098,880431,GENAERA CORP,2007-03-14,3,0,10,4,0,1,0,0,0,5,1,2,0,0,6926,21.686,-15.727,-0.725214424
2099,1326200,GENCO SHIPPING & TRADING LTD,2007-02-09,4,1,20,5,5,2,0,0,0,1,7,4,0,0,9264,1653.2720000000002,106.809,0.064604614
2104,886035,GENERAL CABLE CORP /DE/,2007-03-01,4,0,20,4,6,1,0,1,0,3,3,3,0,1,9065,3798.0,208.6,0.054923644
2106,40533,GENERAL DYNAMICS CORP,2007-02-23,6,0,21,1,3,0,0,0,0,0,1,1,0,0,1814,25733.0,2072.0,0.080519178
2109,40545,GENERAL ELECTRIC CO,2007-02-27,1,0,13,0,2,0,0,0,0,0,0,0,1,0,809,795337.0,22208.0,0.027922755
2113,1012620,GENESEE & WYOMING INC,2007-03-01,1,0,15,6,2,1,0,0,0,1,2,1,1,0,10538,1077.8010000000002,55.175,0.001064369
2118,880643,GENTA INC DE/,2007-03-16,5,0,15,7,6,0,0,0,2,8,4,1,0,0,7715,29.293000000000003,-23.32,-0.79609463
2119,1077552,GENTEK INC,2007-03-20,1,0,17,5,2,0,0,0,0,1,1,3,1,0,4698,613.979,29.767,0.04848211400000001
2120,355811,GENTEX CORP,2007-02-27,5,0,8,2,2,2,0,1,0,1,0,1,0,0,1534,898.023,122.13,0.135998744
2121,1096142,GENTIVA HEALTH SERVICES INC,2007-03-16,5,0,16,15,3,1,0,0,0,2,3,1,0,1,9416,882.2330000000001,32.828,0.037210125
2122,40987,GENUINE PARTS CO,2007-02-28,1,1,4,1,1,0,0,0,0,0,0,0,0,0,999,4774.069,506.339,0.10606026
2123,934473,GENVEC INC,2007-03-16,6,0,16,6,6,0,0,1,0,4,3,3,0,0,10651,28.348000000000003,-18.708,-0.659940737
2124,1276520,GENWORTH FINANCIAL INC,2007-02-28,1,4,59,8,9,0,0,3,0,5,1,4,1,8,13481,114315.0,1220.0,0.010672265
2126,732485,GENZYME CORP,2007-03-01,2,0,11,4,2,0,0,2,0,1,3,2,0,0,10083,8301.741,480.19300000000004,0.057842445
2130,714395,"GERMAN AMERICAN BANCORP, INC.",2007-03-09,9,0,26,3,1,0,0,1,0,0,0,2,0,0,4131,1131.71,9.405,0.008310433
2131,886744,GERON CORP,2007-03-16,10,0,16,14,6,1,7,0,0,6,1,9,0,0,20620,218.896,-36.696999999999996,-0.167645823
2132,1052752,GETTY REALTY CORP /MD/,2007-03-16,3,0,16,11,2,0,0,0,0,3,1,5,1,0,4798,396.911,33.894,0.085394459
2136,912562,"GIBRALTAR INDUSTRIES, INC.",2007-03-01,0,0,12,3,3,0,0,0,1,2,0,0,0,0,5026,1281.4080000000001,13.224,0.010319898000000001
2137,882095,GILEAD SCIENCES INC,2007-02-27,5,0,17,3,4,6,0,0,1,2,4,5,0,2,7734,5834.715999999999,1615.2979999999998,0.27684260899999996
2138,868671,GLACIER BANCORP INC,2007-02-28,1,0,6,1,0,0,0,0,0,0,0,0,0,0,745,4817.33,68.60300000000001,0.014240876000000001
2139,1234006,GLADSTONE COMMERCIAL CORP,2007-02-27,1,0,26,2,2,2,0,1,0,12,4,2,0,0,6748,378.903,6.14,0.016204675
2141,890066,GLEN BURNIE BANCORP,2007-03-09,2,0,21,1,0,0,0,0,0,1,1,0,0,0,2396,307.274,2.782,0.009053809
2142,808918,GLENAYRE TECHNOLOGIES INC,2007-03-30,2,0,11,2,0,0,0,0,0,4,1,1,0,0,3086,296.02099999999996,-15.134,-0.051124750999999996
2143,912898,GLIMCHER REALTY TRUST,2007-02-23,0,0,12,4,1,0,0,0,0,0,2,0,0,0,4816,1830.9470000000001,38.357,0.020949268
2144,1061322,GLOBAL CROSSING LTD,2007-03-16,9,0,24,11,14,2,0,0,0,1,11,18,0,0,20752,2667.0,-306.0,-0.114735658
2145,895663,GLOBAL INDUSTRIES LTD,2007-03-01,0,0,19,5,1,1,0,2,0,3,1,2,0,0,4794,1589.7979999999998,159.96,0.100616556
2148,933020,GLOBAL PAYMENT TECHNOLOGIES INC,2007-01-16,0,0,3,1,2,0,0,0,0,0,0,0,0,0,479,6.8020000000000005,-5.591,-0.821964128
2164,1101268,GOAMERICA INC,2007-03-30,3,0,13,2,7,2,0,0,0,2,1,1,0,0,4979,18.298,-3.7,-0.202207892
2165,903571,GOLDEN STAR RESOURCES LTD,2007-03-14,7,0,24,3,13,0,1,1,0,2,5,1,0,0,6959,792.548,-36.404,-0.045932865
2167,42316,GOLDFIELD CORP,2007-03-29,1,0,14,2,2,1,0,0,0,2,1,0,0,0,4974,32.867,-2.3209999999999997,-0.070617945
2168,1069469,GOLDLEAF FINANCIAL SOLUTIONS INC.,2007-03-29,0,0,22,38,11,0,0,0,0,7,1,0,0,0,17658,81.65,-0.5760000000000001,-0.0070545009999999995
2169,886982,GOLDMAN SACHS GROUP INC/,2007-02-06,5,0,46,4,1,0,0,0,0,1,4,2,0,2,6114,1119796.0,11599.0,0.010358137
2170,1202273,GOLFSMITH INTERNATIONAL HOLDINGS INC,2007-03-30,1,0,5,6,4,4,0,0,0,0,3,1,0,0,5378,202.92,-40.82,-0.20116302
2172,943861,GOODRICH PETROLEUM CORP,2007-03-14,6,0,15,2,4,4,0,1,0,3,1,2,0,0,5097,590.118,-45.033,-0.076311856
2174,42682,GORMAN RUPP CO,2007-03-09,0,0,1,0,0,0,0,0,0,0,0,2,0,0,174,211.53400000000002,22.859,0.108063006
2180,42888,GRACO INC,2007-02-20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,604,536.724,152.836,0.284757156
2181,931148,GRAFTECH INTERNATIONAL LTD,2007-03-16,3,0,20,4,11,4,0,1,0,4,5,1,0,0,11281,866.701,153.701,0.177340282
2183,277135,GRAINGER W W INC,2007-02-27,0,0,2,0,3,0,0,0,0,0,0,0,0,0,735,3094.028,420.12,0.13578416199999999
2185,1048620,GRANITE CITY FOOD & BREWERY LTD,2007-02-21,0,0,14,0,9,3,0,0,0,3,3,1,0,0,5559,82.411,-9.558,-0.11597966300000001
2186,861459,GRANITE CONSTRUCTION INC,2007-02-27,3,0,10,4,2,0,0,0,0,1,0,0,0,0,2935,1786.418,112.065,0.062731679
2191,43196,GRAY TELEVISION INC,2007-03-15,0,0,3,1,0,1,0,0,0,0,0,2,1,0,2966,1625.969,-23.151,-0.014238279
2197,1143068,GREAT PLAINS ENERGY INC,2007-02-27,7,0,32,7,10,0,0,0,1,0,3,3,0,0,9818,4826.7,159.2,0.032983198
2199,854560,GREAT SOUTHERN BANCORP INC,2007-03-16,5,0,25,5,1,1,0,0,0,0,0,3,1,0,4218,2431.732,29.299,0.012048614
2200,1114483,"GREATBATCH, INC.",2007-02-27,3,0,17,2,3,4,1,0,0,3,3,2,0,0,4758,663.8510000000001,15.05,0.02267075
2203,773845,GREATER COMMUNITY BANCORP,2007-03-15,2,1,7,1,1,0,0,0,0,0,0,1,0,0,1512,975.99,8.857000000000001,0.009074888
2208,1282977,GREENHILL & CO INC,2007-03-01,8,0,23,3,3,2,0,0,0,2,3,6,0,0,6616,374.213,115.27600000000001,0.30804915899999996
2209,1090009,GREENVILLE FIRST BANCSHARES INC,2007-03-21,3,0,51,13,1,0,0,2,0,6,6,6,1,0,15107,628.129,3.435,0.005468621999999999
2210,320186,GREY WOLF INC,2007-02-27,2,0,13,7,1,0,0,0,0,3,0,1,0,0,4861,1207.97,169.892,0.140642566
2212,895041,GRILL CONCEPTS INC,2007-03-30,0,0,13,14,4,1,0,0,0,0,2,1,0,0,13265,43.338,-1.3,-0.02999677
2220,828750,GSI COMMERCE INC,2007-03-13,7,0,29,2,9,7,0,0,0,3,4,6,0,0,10674,693.64,3.0389999999999997,0.004381235
2222,1076930,GSI GROUP INC,2007-03-13,2,0,26,4,6,1,0,0,0,1,5,2,1,0,4567,440.21,19.044,0.043261170999999994
2223,904973,GTC BIOTHERAPEUTICS INC,2007-03-07,4,0,9,0,3,2,0,0,0,1,11,1,0,0,7920,40.713,-36.321,4.5e-05
2225,1046203,GUARANTY FEDERAL BANCSHARES INC,2007-03-30,2,0,14,0,0,2,0,0,0,0,0,0,0,0,674,565.778,6.1,0.010781613999999998
2229,1031623,GULF ISLAND FABRICATION INC,2007-03-16,2,0,11,24,1,0,2,0,0,4,1,2,0,0,12856,325.21299999999997,31.166999999999998,0.095835652
2231,1030749,GULFMARK OFFSHORE INC,2007-03-01,0,0,17,2,1,0,0,0,0,4,0,3,0,0,2191,934.012,98.975,0.105967589
2235,1368900,"GateHouse Media, Inc.",2007-03-13,0,0,11,2,3,0,0,1,0,0,0,0,0,0,5154,1874.995,-231.424,-0.12342646199999999
2236,1342287,General Finance CORP,2007-02-23,1,0,5,9,1,0,0,0,1,6,6,0,0,0,7489,71.078,0.855,0.012029038999999998
2246,1352302,"GeoMet, Inc.",2007-03-20,7,0,20,5,1,1,0,0,0,1,1,1,0,0,5413,378.67699999999996,5.169,0.013650156
2249,1338401,Global Logistics Acquisition CORP,2007-03-29,0,0,11,3,1,0,0,0,0,9,2,0,1,0,5862,90.399,1.432,0.015840883
2259,1372020,Great Lakes Dredge & Dock CORP,2007-03-22,2,0,14,9,2,0,2,0,0,4,1,1,0,0,10347,624.362,7.056,0.011301136000000002
2274,315213,HALF ROBERT INTERNATIONAL INC /DE/,2007-02-23,2,1,6,0,0,0,0,0,0,0,1,2,0,0,1379,1450.2979999999998,296.212,0.204242163
2276,819913,HALLMARK FINANCIAL SERVICES INC,2007-03-22,6,0,28,1,5,1,0,0,0,1,1,7,0,0,4838,606.314,27.429000000000002,0.045238935999999993
2277,1159036,HALOZYME THERAPEUTICS INC,2007-03-09,5,0,12,2,6,0,0,0,0,2,3,0,0,0,7067,103.46,-23.896,-0.23096849
2278,1143155,HAMPTON ROADS BANKSHARES INC,2007-03-16,2,0,12,1,1,0,0,0,0,0,0,2,0,0,1524,563.828,6.811,0.012079925
2280,750577,HANCOCK HOLDING CO,2007-02-23,2,0,18,1,3,1,0,0,0,0,2,2,0,0,2405,6055.979,73.892,0.012201495
2281,722723,HANGER ORTHOPEDIC GROUP INC,2007-03-16,0,0,4,1,0,0,0,0,0,0,0,2,0,0,2102,759.683,19.267,0.025361894
2288,944695,"HANOVER INSURANCE GROUP, INC.",2007-03-01,7,0,47,17,6,1,0,0,2,3,1,2,0,0,17879,9815.6,253.1,0.025785483999999997
2291,313716,HARDINGE INC,2007-03-16,2,0,15,5,3,1,1,0,0,1,2,3,0,0,2904,361.82800000000003,14.925999999999998,0.041251644
2292,313478,HARKEN ENERGY CORP,2007-02-28,0,0,11,2,2,3,0,0,0,2,3,3,0,0,4993,110.465,3.2289999999999996,0.029230977999999998
2296,702902,HARLEYSVILLE NATIONAL CORP,2007-03-15,0,0,30,5,1,0,0,1,0,0,0,2,0,0,7206,3903.0009999999997,26.595,0.006813987
2298,858339,HARRAHS ENTERTAINMENT INC,2007-03-01,7,0,9,2,8,0,0,1,0,2,0,2,0,0,3342,23357.7,619.4,0.026518022000000002
2299,1063997,HARRINGTON WEST FINANCIAL GROUP INC/CA,2007-03-23,11,1,79,13,7,3,0,0,0,3,1,4,1,0,29020,1223.402,4.168,0.003406893
2300,893739,HARRIS & HARRIS GROUP INC /NY/,2007-03-16,11,0,33,2,1,2,0,0,0,4,1,2,1,0,6046,142.893,-6.716,-0.047000203
2302,45876,HARSCO CORP,2007-02-27,3,0,25,0,1,1,0,0,0,3,2,2,0,0,4324,3905.43,299.492,0.07668605
2304,874766,HARTFORD FINANCIAL SERVICES GROUP INC/DE,2007-02-23,6,1,43,2,5,0,0,0,0,3,9,6,0,2,6751,360361.0,2949.0,0.00818346
2307,723371,HARTMARX CORP/DE,2007-02-09,1,0,5,5,4,0,0,0,0,0,2,0,1,0,1978,459.852,-4.178,-0.009085532
2308,1123494,HARVARD BIOSCIENCE INC,2007-03-15,11,0,18,16,14,1,2,1,0,5,2,1,0,0,12270,98.853,-1.354,-0.013697106
2309,845289,"HARVEST NATURAL RESOURCES, INC.",2007-03-13,11,0,46,10,0,1,0,0,1,4,4,5,0,0,12140,417.07099999999997,60.118,0.14414332300000002
2316,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,2007-02-28,2,0,96,9,7,0,1,0,0,7,7,11,0,0,33138,9994.179,86.669,0.008671948
2318,849240,HAWK CORP,2007-03-23,4,0,15,2,2,0,0,0,0,0,1,2,0,0,3193,219.90400000000002,17.268,0.078525175
2323,1027915,HEALTH GRADES INC,2007-03-16,6,0,27,9,4,0,0,0,0,2,5,2,0,0,12920,36.935,6.747999999999999,0.182699337
2324,792985,HEALTH MANAGEMENT ASSOCIATES INC,2007-02-27,2,0,10,6,0,1,0,0,0,0,3,6,0,0,5496,4643.919,119.87899999999999,0.025814188
2325,916085,HEALTH NET INC,2007-03-01,10,0,43,21,11,0,0,0,0,3,0,9,0,1,19829,4933.055,193.697,0.039265121
2327,899749,HEALTHCARE REALTY TRUST INC,2007-03-01,1,0,5,0,3,0,0,0,0,0,0,0,0,0,1624,1495.4920000000002,60.062,0.040162034
2328,731012,HEALTHCARE SERVICES GROUP INC,2007-02-23,1,0,3,3,1,0,0,0,0,0,0,0,0,0,1430,243.368,29.578000000000003,0.12153611
2329,1090403,HEALTHEXTRAS INC,2007-02-28,4,0,6,4,1,0,0,1,0,1,1,2,0,0,3746,551.43,39.268,0.07121121400000001
2331,1095565,HEALTHSTREAM INC,2007-03-30,3,0,19,4,1,1,0,0,0,2,2,10,1,0,6015,53.361000000000004,4.087,0.076591518
2334,799233,HEARTLAND EXPRESS INC,2007-02-28,1,0,7,1,1,0,0,0,0,0,2,2,1,0,2747,526.294,76.17,0.144728992
2336,1144354,HEARTLAND PAYMENT SYSTEMS INC,2007-03-09,1,0,11,0,5,0,0,0,1,0,3,1,4,0,5094,329.189,35.87,0.10896475900000001
2337,719413,HECLA MINING CO/DE/,2007-03-16,6,0,37,4,4,1,0,0,0,0,6,2,0,0,5055,650.737,53.196999999999996,0.081748848
2338,46619,HEICO CORP,2007-01-12,0,0,4,1,1,0,0,0,0,1,0,0,0,0,2111,631.302,39.005,0.061785009
2339,1066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,2007-03-15,0,0,7,2,1,0,0,0,0,0,1,0,0,0,2124,616.884,56.463,0.091529364
2341,946644,HEMISPHERX BIOPHARMA INC,2007-03-19,6,0,17,20,9,3,0,0,0,6,8,5,0,1,18889,23.142,-18.139,-0.783812981
2344,1000228,HENRY SCHEIN INC,2007-02-28,0,0,13,3,1,1,1,0,0,1,1,0,0,0,3803,3313.9840000000004,215.173,0.06492879900000001
2347,1330849,"HERCULES OFFSHORE, INC.",2007-02-28,3,0,16,4,3,0,0,0,0,2,1,3,0,0,6382,3642.539,136.52200000000002,0.037479901
2348,1280784,HERCULES TECHNOLOGY GROWTH CAPITAL INC,2007-03-09,4,0,65,35,15,4,0,0,0,5,3,4,3,0,25720,541.943,42.409,0.078253617
2349,1053352,HERITAGE COMMERCE CORP,2007-03-16,3,0,64,4,4,1,0,2,0,2,1,4,0,0,11491,1347.4720000000002,14.095999999999998,0.010461071
2350,1046025,HERITAGE FINANCIAL CORP /WA/,2007-03-05,0,0,6,1,4,0,0,0,0,0,0,0,0,0,676,886.055,10.708,0.012085028999999999
2351,921547,HERITAGE OAKS BANCORP,2007-03-02,4,1,45,7,3,1,0,3,0,0,4,2,2,0,10407,745.554,6.917000000000001,0.009277665
2353,47111,HERSHEY CO,2007-02-23,3,0,9,1,5,1,0,0,0,0,2,0,0,0,1507,4247.113,214.15400000000002,0.050423429000000006
2356,1038133,HESKA CORP,2007-03-30,0,0,5,14,5,2,0,0,1,11,4,0,0,0,7842,75.59100000000001,34.808,0.460478099
2358,717605,HEXCEL CORP /DE/,2007-03-01,5,0,12,3,3,0,0,0,0,1,1,1,0,0,3213,1060.5,61.3,0.057802923
2360,1380509,"HFF, Inc.",2007-03-16,0,0,12,1,1,0,0,0,0,3,5,2,1,0,8489,240.476,14.42,0.059964404000000006
2361,766561,HICKORY TECH CORP,2007-03-14,1,0,16,5,9,1,0,0,0,2,4,2,0,0,4235,227.495,8.611,0.037851381
2365,921082,HIGHWOODS PROPERTIES INC,2007-03-01,0,0,13,0,2,0,0,1,0,4,2,2,0,0,3469,2926.955,90.745,0.03100321
2367,814898,HILB ROGAL & HOBBS CO,2007-03-16,8,0,8,4,7,0,0,1,0,2,2,10,0,0,2596,1817.4260000000002,78.125,0.04298662
2372,915909,HIRSCH INTERNATIONAL CORP,2007-03-28,0,0,3,1,1,0,0,0,0,0,1,1,0,0,1734,29.3,2.0869999999999997,3.2e-05
2374,921183,HMN FINANCIAL INC,2007-03-02,2,2,10,1,1,0,0,0,0,3,2,1,2,0,2336,1117.0539999999999,11.274000000000001,0.010092619
2375,1196501,HMS HOLDINGS CORP,2007-03-09,6,0,13,2,5,0,0,0,0,0,1,3,0,0,6094,188.1,14.956,0.079510898
2377,899394,HOLLIS EDEN PHARMACEUTICALS INC /DE/,2007-03-16,5,0,7,3,2,0,0,0,0,2,1,3,0,0,4970,45.123000000000005,-23.121,-0.512399442
2378,48039,HOLLY CORP,2007-03-01,3,0,16,0,2,1,0,0,0,1,2,3,1,0,3890,1663.945,334.12800000000004,0.200804714
2379,1283140,HOLLY ENERGY PARTNERS LP,2007-02-26,3,0,13,1,1,0,0,0,0,0,3,1,1,0,4298,238.90400000000002,39.271,0.164379835
2380,912544,HOLLYWOOD MEDIA CORP,2007-03-16,4,0,24,5,1,4,0,0,0,1,1,3,2,0,11320,93.979,1.735,0.018461571
2381,1331520,HOME BANCSHARES INC,2007-03-20,2,1,24,1,4,1,0,0,1,2,0,0,0,0,4400,2291.63,20.445,0.008921597
2382,354950,HOME DEPOT INC,2007-03-29,2,0,7,7,5,0,0,0,0,0,1,3,0,0,5386,44324.0,4395.0,0.099156213
2390,867493,HOME FEDERAL BANCORP,2007-03-16,0,0,11,0,0,0,0,0,0,0,1,2,0,0,931,908.806,6.122999999999999,0.006737412
2391,923118,HOME PROPERTIES INC,2007-02-28,0,0,16,3,2,1,0,0,0,0,1,0,0,0,3105,3216.423,61.544,0.019134299
2395,773840,HONEYWELL INTERNATIONAL INC,2007-02-16,6,0,26,9,6,0,0,1,0,1,2,4,0,2,5339,33805.0,2444.0,0.072296997
2396,1077688,HOOKER FURNITURE CORP,2007-02-28,1,0,9,4,3,0,0,0,0,1,0,0,0,0,2075,175.232,19.655,0.112165586
2398,1041550,HOPFED BANCORP INC,2007-03-30,0,0,7,1,0,1,0,0,0,0,3,2,0,0,1684,808.352,4.1160000000000005,0.005091841
2399,850141,HORACE MANN EDUCATORS CORP /DE/,2007-03-01,2,0,48,7,11,1,2,0,0,2,0,3,0,1,20146,6259.313,82.788,0.013226372
2400,706129,HORIZON BANCORP /IN/,2007-03-23,3,0,36,2,0,0,0,1,0,0,2,0,0,0,2069,1258.874,8.14,0.006466096
2404,1274057,HOSPIRA INC,2007-02-28,5,0,20,23,8,3,0,0,1,1,4,1,0,0,14632,5084.666,136.75799999999998,0.026896162
2405,945394,HOSPITALITY PROPERTIES TRUST,2007-03-01,1,1,19,34,6,1,0,1,0,5,7,1,1,0,30697,5679.307,330.968,0.058276124000000006
2407,1070750,"HOST HOTELS & RESORTS, INC.",2007-02-27,5,0,26,13,9,0,0,0,0,4,9,2,0,0,11905,11812.0,727.0,0.061547579000000005
2408,1017712,HOT TOPIC INC /CA/,2007-03-28,9,0,27,5,6,8,0,0,0,2,1,0,0,0,5200,332.101,16.012,0.048214248
2411,357294,HOVNANIAN ENTERPRISES INC,2007-01-16,2,0,8,1,1,1,0,0,0,0,0,3,0,0,3239,4540.548,-627.119,0.012708156000000002
2412,803649,HRPT PROPERTIES TRUST,2007-03-01,0,1,15,29,4,0,0,1,0,3,6,1,0,0,22346,5859.331999999999,124.255,0.021206342000000003
2431,940942,HUB GROUP INC,2007-02-23,0,0,2,1,0,0,0,0,0,7,1,2,2,0,2381,491.967,59.799,0.000522845
2434,921847,HUDSON CITY BANCORP INC,2007-03-01,0,0,12,1,1,1,0,0,0,1,1,1,0,0,2603,44423.971,295.858,0.006659873
2435,1210708,HUDSON HIGHLAND GROUP INC,2007-03-16,3,0,11,1,1,7,0,0,0,0,0,1,0,0,3206,374.20599999999996,14.981,0.040034099
2439,49071,HUMANA INC,2007-02-23,2,0,72,9,1,0,0,0,0,0,4,4,0,0,15595,12879.073999999999,833.684,0.064731672
